,Name,Image,Personality Traits
183,['Farooq Sheikh'],"['https://en.wikipedia.org//wiki/File:Farooq_Sheikh_at_Mirchi_Music_Awards_2011.jpg', 'https://en.wikipedia.org//wiki/File:Farooque_Shaikh_-_Actor.JPG']","['actor', 'philanthropist', 'known for his work', 'actor', 'successful', 'married', 'actor', 'successful', 'actor', 'dedicated', 'humble', 'actor']"
184,['Feroz Khan (actor)'],['https://en.wikipedia.org//wiki/File:Feroz_Khan.jpg'],"['actor', 'producer', 'director', 'known for his work', 'sensitive', 'actor', 'successful', 'producer', 'director', 'actress', 'singer', 'memorable', 'producer', 'director', 'actor', 'singer', 'married', 'actress', 'actor', 'director']"
185,['Fish Venkat'],['https://en.wikipedia.org//wiki/File:Text_document_with_red_question_mark.svg'],"['actor', 'comedy']"
186,['Fawad Khan'],"['https://en.wikipedia.org//wiki/File:Fawad_khan_at_grazia_young_faishon_awards.jpg', 'https://en.wikipedia.org//wiki/File:Epatkarachi.jpg', 'https://en.wikipedia.org//wiki/File:Sonam_Kapoor_and_Fawad_Khan_With_Suresh_Sharma.JPG', 'https://en.wikipedia.org//wiki/File:Fawad_Khan_at_Vogue_Beauty_awards.jpg', 'https://en.wikipedia.org//wiki/File:Fawad_Khan_Won_Filmfare.jpg']","['actor', 'producer', 'screenwriter', 'singer', 'singer', 'actor', 'comedy', 'successful', 'actor', 'singer', 'actor', 'comedy', 'actor', 'actor', 'director', 'comedy', 'actor', 'writer', 'producer', 'director', 'singer', 'comedy', 'director', 'producer', 'director', 'producer', 'actor', 'beautiful', 'beauty', 'independent', 'actor', 'married']"
187,['G. K. Govinda Rao'],"['https://en.wikipedia.org//wiki/File:G._K._Govinda_Rao,_Kannada_actor,_writer.jpg']","['writer', 'actor', 'general']"
188,['G. V. Iyer'],['https://en.wikipedia.org//wiki/File:GV_Iyyer_Filmmaker.jpg'],"['director', 'actor', 'actor', 'married', 'actor']"
189,['Ganesh (actor)'],['https://en.wikipedia.org//wiki/File:Ganesh_actor.JPG'],"['actor', 'known for his work', 'actor', 'comedy', 'actor', 'actor', 'host', 'comedy', 'director', 'comedy', 'comedy', 'comedy', 'director', 'actor', 'director', 'actress', 'writer']"
190,['Ganesh Venkatraman'],['https://en.wikipedia.org//wiki/File:Ganesh_Venkatraman_62nd_Britannia_Filmfare_South_Awards_(cropped).jpg'],"['actor', 'general', 'actor', 'successful', 'host', 'actor', 'actress', 'married']"
191,['Gangadhar'],"['https://en.wikipedia.org//wiki/File:Gangadhar-actor-img.jpg', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg']",['actor']
192,['Gaurav Chanana'],"['https://en.wikipedia.org//wiki/File:Rehan_aka_gaurav.jpg', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg']","['actor', 'director']"
193,['Gautham Karthik'],['https://en.wikipedia.org//wiki/File:Gautham_Karthik_at_Rangoon_Audio_Launch.jpg'],"['actor', 'actor', 'actress', 'actor', 'director']"
194,['Gautham Menon'],"['https://en.wikipedia.org//wiki/File:Gautham_Menon_(cropped).jpg', 'https://en.wikipedia.org//wiki/File:Wiki_letter_w_cropped.svg']","['director', 'screenwriter', 'producer', 'actor', 'director', 'actor', 'producer', 'actress', 'actress', 'producer', 'producer', 'actor', 'actress', 'producer', 'dedicated', 'successful', 'actress', 'producer', 'actor', 'director', 'producer', 'successful', 'director', 'director', 'producer', 'director', 'producer', 'successful', 'singer', 'creative', 'married']"
195,['Gavie Chahal'],['https://en.wikipedia.org//wiki/File:Misha_bajwa_on_the_sets_of_Big_Fame_stars_for_SPARK_PUNJABI.png'],"['actor', 'modelling', 'successful']"
196,['Gemini Ganesan'],"['https://en.wikipedia.org//wiki/File:Gemini-ganesan_1_1401893717.jpg', 'https://en.wikipedia.org//wiki/File:Miss_Malini_Gemini_still.jpg', 'https://en.wikipedia.org//wiki/File:Gemini_Ganesan_2006_stamp_of_India.jpg']","['actor', 'successful', 'married', 'actress', 'married', 'yoga', 'married', 'actor', 'actor', 'actor', 'successful', 'actor', 'yoga', 'director', 'successful', 'married', 'actress', 'actor', 'actor', 'comedy', 'actress', 'director', 'actor']"
197,['Gireesh Sahdev'],[],['actor']
198,['Giri Babu'],['https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg'],['actor']
199,['Girish Karnad'],"['https://en.wikipedia.org//wiki/File:Girish_Karnad_Screening_Cornell.JPG', 'https://en.wikipedia.org//wiki/File:Girish-Karnad.jpg']","['actor', 'director', 'writer', 'actor', 'director', 'screenwriter', 'director', 'general', 'married', 'director', 'actor', 'actor', 'creative', 'actor', 'director', 'writer', 'general']"
200,['Girish Kumar'],['https://en.wikipedia.org//wiki/File:Girish_Kumar_1.jpg'],"['actor', 'comedy', 'director', 'director', 'comedy']"
201,['Gurmeet Choudhary'],['https://en.wikipedia.org//wiki/File:Gurmeet_Choudhary_at_Big_Life_OK_Now_Awards_2014.jpg'],"['actor', 'married']"
202,['Goundamani'],['https://en.wikipedia.org//wiki/File:Goundar-2.jpg'],"['actor', 'married', 'actor', 'comedy']"
203,['Govinda (actor)'],"['https://en.wikipedia.org//wiki/File:Govinda_snapped_at_trailer_launch_of_the_film_Fry_Day_(cropped).jpg', 'https://en.wikipedia.org//wiki/File:David_Dhawan_Govinda_Chunky_Pandey_still3.jpg', 'https://en.wikipedia.org//wiki/File:Govinda_at_green_carpet_of_IIFA_2014.jpg', 'https://en.wikipedia.org//wiki/File:Govinda_and_Akshay_Kumar_on_the_set_of_Bhagam_Bhag.jpg', 'https://en.wikipedia.org//wiki/File:Govinda_at_Life_Partner_success_party.jpg', 'https://en.wikipedia.org//wiki/File:Govinda,_Johny_%26_Rakhi_Sawant_at_ICFPA_concert.jpg', 'https://en.wikipedia.org//wiki/File:Govinda_at_the_Launch_of_The_Book_Mr_And_Mrs_Dutt.jpg', 'https://en.wikipedia.org//wiki/File:Juhi,_Govinda_at_the_Indian_Princess_finals_2014.jpg', 'https://en.wikipedia.org//wiki/File:Govinda_still11.jpg', 'https://en.wikipedia.org//wiki/File:Govinda_with_daughter_Narmmadaa_at_Bright_Advertising_Awards_announcement.jpg', 'https://en.wikipedia.org//wiki/File:Govinda_at_special_screening_of_Life_Partner.jpg', 'https://en.wikipedia.org//wiki/File:Lachhman_Chatnani,Ram_Jawhrani,Anthony_Arun_Biswas,Pahlaj_Nihalani,Govinda,Chandru_Punjabi_From_The_Govinda_graces_Mother_Teresa_International_Award_(15).jpg']","['actor', 'known for his work', 'comedy', 'actor', 'successful', 'actor', 'singer', 'actress', 'successful', 'actress', 'comedy', 'actor', 'successful', 'actor', 'successful', 'general', 'actor', 'comedy', 'director', 'comedy', 'actor', 'comedy', 'successful', 'comedy', 'general', 'successful', 'actor', 'actor', 'actress', 'singer', 'producer', 'director', 'writer', 'married', 'director', 'actor', 'actor', 'actor', 'singer', 'actor', 'actress']"
204,['Gubbi Veeranna'],"['https://en.wikipedia.org//wiki/File:GubbiVeeranna.jpg', 'https://en.wikipedia.org//wiki/File:..Karnataka_Flag(INDIA).png']","['director', 'responsible', 'actor', 'actor', 'actress']"
205,['Gulshan Devaiah'],"['https://en.wikipedia.org//wiki/File:Gulshan_Devaiya_at_a_special_screening_of_Lipstick_Under_My_Burkha_(cropped).jpg', 'https://en.wikipedia.org//wiki/File:Kalki_Koechlin_and_Gulshan_Devaiah.jpg']","['actor', 'married', 'actress', 'actor', 'comedy', 'actor']"
206,['Gulshan Grover'],"['https://en.wikipedia.org//wiki/File:Gulshan_Grover.jpg', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg']","['actor', 'successful']"
207,['Gummadi Venkateswara Rao'],"['https://en.wikipedia.org//wiki/File:Gummadi-Venkateswara-Rao-pic.jpg', 'https://en.wikipedia.org//wiki/File:Wiki_letter_w_cropped.svg']","['actor', 'producer', 'actor', 'actor', 'comedic', 'married']"
208,['Gurdas Maan'],['https://en.wikipedia.org//wiki/File:Gurdas_Maan1.jpg'],"['singer', 'actor', 'singer', 'singer', 'actor', 'married', 'dedicated']"
209,['Guru Dutt'],"['https://en.wikipedia.org//wiki/File:Guru_Dutt_dans_Mr_and_Mrs_55_(1955).jpg', 'https://en.wikipedia.org//wiki/File:Guru_Dutt_2004_stamp_of_India.jpg']","['director', 'producer', 'actor', 'painter', 'director', 'producer', 'screenwriter', 'director', 'actor', 'director', 'director', 'creative', 'director', 'writer', 'director', 'actor', 'director', 'actress', 'successful', 'writer', 'director', 'actress', 'actor', 'actress', 'director', 'married', 'singer', 'actress', 'general', 'successful', 'creative', 'dedicated']"
210,['Gurukiran'],[],"['director', 'singer', 'director', 'actor', 'director', 'respected', 'director', 'singer']"
211,['Guruprasad'],"['https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg']","['actor', 'director']"
212,['Gopichand Lagadapati'],[],"['actor', 'writer', 'director', 'producer', 'actor', 'beauty', 'writer']"
213,['Hamsavardhan'],[],"['actor', 'successful', 'actor', 'actor']"
214,['Harbhajan Mann'],['https://en.wikipedia.org//wiki/File:Harbhajan-Mann.jpg'],"['singer', 'actor', 'producer']"
215,['Nandamuri Harikrishna'],[],"['actor', 'producer', 'actor', 'married']"
216,['Harish Kumar (actor)'],['https://en.wikipedia.org//wiki/File:HarishKumar.jpg'],"['actor', 'actor', 'actor', 'actor', 'producer']"
217,['Harish Raj'],[],"['actor', 'director', 'actor', 'married']"
218,['Harshvardhan Rane'],['https://en.wikipedia.org//wiki/File:Harshvardhan_Rane_graces_Vogue_Beauty_Awards_2017.jpg'],"['actor', 'comedy', 'actor']"
219,['Harisree Ashokan'],['https://en.wikipedia.org//wiki/File:Harisree_Ashokan_2007.jpg'],"['actor', 'director', 'comedy', 'actor', 'comedy', 'director', 'married', 'actor', 'director', 'actor']"
220,['Harman Baweja'],['https://en.wikipedia.org//wiki/File:Harman_baweja.jpg'],"['actor', 'producer', 'director', 'producer', 'producer', 'comedy']"
221,['Harsh Mayar'],"['https://en.wikipedia.org//wiki/File:The_Director_General_(M%26C)_%26_Director,_DFF,_Shri_S.M._Khan_with_the_Director,_Shri_Nila_Madhab_Panda,_noted_Actor_Shri_Gulshan_Grover,_the_Child_Actor,_Harsh_Mayar_and_Ms._Ritu_Rath.jpg']","['actor', 'director', 'actor', 'beauty']"
222,['Hiran Chatterjee'],"['https://en.wikipedia.org//wiki/File:Hiran_new_photo.jpg', 'https://en.wikipedia.org//wiki/File:All_India_Trinamool_Congress_symbol.svg']","['actor', 'writer', 'singer', 'producer', 'married']"
223,['Hiten Paintal'],[],['actor']
224,['Hrithik Roshan'],"['https://en.wikipedia.org//wiki/File:Hrithik_at_Rado_launch.jpg', 'https://en.wikipedia.org//wiki/File:Hrithik_and_Rakesh.jpg', 'https://en.wikipedia.org//wiki/File:Hrithik_Roshan_in_2001.jpg', 'https://en.wikipedia.org//wiki/File:Hrithikaishwaryaguzaarish.jpg', 'https://en.wikipedia.org//wiki/File:Hrithik_Roshan_promoting_Mohenjo_Daro.jpg', 'https://en.wikipedia.org//wiki/File:HrithikRoshan13.jpg', 'https://en.wikipedia.org//wiki/File:HR_SR.jpg', 'https://en.wikipedia.org//wiki/File:Hritik_Roshan_with_his_wax_statue.jpg', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg']","['actor', 'actor', 'director', 'comedy', 'married', 'director', 'producer', 'actor', 'actor', 'actor', 'singer', 'actor', 'successful', 'responsible', 'director', 'successful', 'actor', 'actor', 'actor', 'actor', 'courageous', 'actor', 'actor', 'producer', 'actor', 'married', 'director', 'writer', 'actor', 'comedy', 'actor', 'actor', 'actor', 'comedy', 'actor', 'actor', 'comedy', 'successful', 'married', 'actress', 'director', 'actor', 'powerful', 'actor']"
225,['Himesh Reshammiya'],['https://en.wikipedia.org//wiki/File:Himesh_Reshammiya_with_team_of_%27Humshakals%27_at_Hasee_House_on_Star_Plus.jpg'],"['director', 'producer', 'singer', 'screenwriter', 'married', 'actress', 'singer', 'singer', 'brave', 'singer', 'actor', 'singer', 'director']"
226,['Honnappa Bhagavathar'],"['https://en.wikipedia.org//wiki/File:Honnappa_Bhagavathar_1948.jpg', 'https://en.wikipedia.org//wiki/File:HonnappaBhagavathar.JPG', 'https://en.wikipedia.org//wiki/File:JagajyothibasaveshwaraDVD.jpg']","['actor', 'producer', 'singer']"
227,['Honnavalli Krishna'],"['https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg']",['actor']
228,['Hunsur Krishnamurthy'],['https://en.wikipedia.org//wiki/File:Hunsur-Krishnamurthy-pic.jpg'],"['director', 'producer', 'actor', 'screenwriter', 'director', 'actor', 'director', 'writer', 'director', 'actor']"
229,['Hyder Kazmi'],[],"['actor', 'director', 'producer']"
230,['I. S. Johar'],['https://en.wikipedia.org//wiki/File:I.S.Johar-pic.jpg'],"['actor', 'writer', 'producer', 'director', 'comedy', 'director', 'married', 'married', 'actress']"
231,['Iftekhar'],['https://en.wikipedia.org//wiki/File:Iftekhar_Khan_(d.1995).jpg'],"['actor', 'singer', 'actor', 'actor', 'actor', 'memorable', 'powerful', 'married']"
232,['Imran Hasnee'],['https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg'],"['actor', 'director']"
233,['Imran Khan (Bollywood actor)'],"['https://en.wikipedia.org//wiki/File:Imran_Khan_The_Front_Row.jpg', 'https://en.wikipedia.org//wiki/File:Imran_Khan_IHLS.jpg', 'https://en.wikipedia.org//wiki/File:Imran_Khan_and_Katrina_Kaif_at_the_Mere_Brother_Ki_Dulhan_audo_release.jpg', 'https://en.wikipedia.org//wiki/File:Imran_Khan_promoting_OUATIMD.jpg', 'https://en.wikipedia.org//wiki/File:Imran_Khan_Age_Drinking_Issue.jpg', 'https://en.wikipedia.org//wiki/File:Imran_Khan_Avantika_Malik_Wedding.jpg', 'https://en.wikipedia.org//wiki/File:Imran_Khan_snapped_during_Bru_Gold%27s_photoshoot_(2).jpg', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg']","['actor', 'director', 'producer', 'comedy', 'successful', 'married', 'married', 'director', 'producer', 'actor', 'married', 'independent', 'loner', 'director', 'writer', 'writer', 'director', 'producer', 'comedy', 'intelligent', 'actor', 'actor', 'intelligent', 'comedy', 'comedy', 'comedy', 'married', 'comedy', 'comedy', 'dedicated', 'comedy', 'married', 'actor', 'married', 'actor', 'successful']"
234,['Indrajith Sukumaran'],['https://en.wikipedia.org//wiki/File:Indrajith.jpg'],"['actor', 'singer', 'actor', 'married', 'actress']"
235,['Indrans'],"['https://en.wikipedia.org//wiki/File:Indrans.jpg', 'https://en.wikipedia.org//wiki/File:Indrans_and_Parvathy_on_Folm_Award_2018.jpg', 'https://en.wikipedia.org//wiki/File:Indrans.jpg', 'https://en.wikipedia.org//wiki/File:Indrans_and_Parvathy_on_Folm_Award_2018.jpg', 'https://en.wikipedia.org//wiki/File:Indrans_1.jpg']","['actor', 'comedy', 'actor', 'producer', 'comedic', 'married']"
236,"[""Ileana D'Cruz""]","['https://en.wikipedia.org//wiki/File:Ileana_D%27Cruz_grace_the_trailer_launch_of_Raid_(16)_(cropped).jpg', 'https://en.wikipedia.org//wiki/File:Ileana_D%27Cruz_LFW.jpg', 'https://en.wikipedia.org//wiki/File:Ajay_Devgn,_Ileana_D%27Cruz.jpg']","['actress', 'modelling', 'photographer', 'married', 'director', 'successful', 'actress', 'actress', 'comedy', 'actress', 'beautiful', 'comedy']"
237,['Inderpal Singh'],['https://en.wikipedia.org//wiki/File:Inderpal_Singh_Portfolio_pic.JPG'],"['actor', 'writer', 'comedy', 'actor']"
238,['Innocent (actor)'],['https://en.wikipedia.org//wiki/File:Innocent_(Actor)_2011.png'],"['actor', 'comedic', 'independent', 'successful', 'comedy', 'successful', 'comedy', 'successful', 'comedy', 'independent', 'married']"
239,['Irrfan Khan'],"['https://en.wikipedia.org//wiki/File:Irrfan_Khan_May_2015.jpg', 'https://en.wikipedia.org//wiki/File:Irfan_Khan_Tabu_still1.jpg']","['actor', 'known for his work', 'successful', 'actor', 'comedy', 'director', 'actor', 'actor', 'outstanding', 'beautiful', 'successful', 'actor', 'married', 'writer', 'actor']"
240,['Inaamulhaq'],"['https://en.wikipedia.org//wiki/File:Inaamulhaq_during_Cannes_Film_Festival_2018.jpeg', 'https://en.wikipedia.org//wiki/File:Inaamulhaq_as_Nils_Krogstad.JPG', 'https://en.wikipedia.org//wiki/File:Inaamulhaq_as_Madhavye.JPG', 'https://en.wikipedia.org//wiki/File:Inaamulhaq_as_Ivan_Kaliayev.JPG', 'https://en.wikipedia.org//wiki/File:Commons-logo.svg']","['actor', 'screenwriter', 'outstanding', 'comedy', 'writer', 'director', 'creative', 'comedy', 'actor', 'outstanding', 'actor', 'actor', 'actor', 'memorable', 'actor', 'actor']"
241,['J. P. Chandrababu'],['https://en.wikipedia.org//wiki/File:J._P._Chandrababu.jpg'],"['actor', 'director', 'singer', 'comedy', 'director', 'successful', 'comedy', 'actor', 'comedy', 'comedy', 'singer', 'married', 'writer', 'comedy']"
242,['J. V. Somayajulu'],['https://en.wikipedia.org//wiki/File:J.V.Somayajulu-pic.jpg'],"['actor', 'actor', 'actor']"
243,['Jackie Shroff'],"['https://en.wikipedia.org//wiki/File:Jackie_Shroff_graces_the_screening_of_Sonata.jpg', 'https://en.wikipedia.org//wiki/File:Jackie_Shroff_at_the_GQ_Best_Dressed_Awards_2017_(10).jpg']","['actor', 'successful', 'married', 'married', 'producer', 'actor', 'modelling', 'successful', 'actor', 'creative', 'comedy']"
244,['Jackky Bhagnani'],['https://en.wikipedia.org//wiki/File:Jackky_Bhagnani_grace_Ramesh_S_Taurani%E2%80%99s_Diwali_bash.jpg'],"['actor', 'producer', 'successful', 'producer', 'independent', 'comedy', 'successful']"
245,['Jagadish'],['https://en.wikipedia.org//wiki/File:Jagadish_-_Thriller_Express_-_Asianet_Tour_-_Atlanata.jpg'],"['actor', 'screenwriter', 'actor', 'actor', 'actor', 'married', 'actor', 'director', 'actor', 'comedy', 'comedy']"
246,['Jagapati Babu'],"['https://en.wikipedia.org//wiki/File:Jagapathi_Babu_at_62nd_Filmfare_awards_south.jpg', 'https://en.wikipedia.org//wiki/File:Commons-logo.svg']","['actor', 'producer', 'director', 'actor']"
247,['Jagathy Sreekumar'],['https://en.wikipedia.org//wiki/File:Jagathy_Sreekumar_2008.jpg'],"['actor', 'writer', 'writer', 'director', 'actor', 'married', 'actress', 'actor', 'director']"
248,['Jagdeep'],"['https://en.wikipedia.org//wiki/File:Jagdeep_(actor)_at_the_Dadasaheb_Phalke_Academy_Awards_2010.jpg', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg']","['actor', 'actor', 'producer', 'director']"
249,['Jagdish Raj'],['https://en.wikipedia.org//wiki/File:Jagdish-Raj-pic.jpg'],"['actor', 'actress', 'memorable']"
250,['Jaggesh'],[],"['actor', 'director', 'producer', 'director', 'hosting', 'actor', 'comedy', 'actor', 'director', 'host', 'comedy', 'married']"
251,['Jai (actor)'],['https://en.wikipedia.org//wiki/File:Jai_at_Nadigar_Sangam_Election.jpg'],"['actor', 'successful', 'singer', 'director', 'singer', 'actor', 'director', 'actor', 'producer', 'comedy', 'actor', 'memorable', 'comedy', 'actor', 'comedy', 'producer', 'actor', 'actor']"
252,['Jaishankar'],['https://en.wikipedia.org//wiki/File:Jaishankar_oldfilm.jpg'],"['actor', 'known for his work', 'comedy', 'memorable', 'comedy', 'successful', 'comedy', 'actress', 'successful', 'comedy', 'actor', 'successful', 'actress']"
253,['Jai Akash'],['https://en.wikipedia.org//wiki/File:Jai_Akash_New.jpg'],"['actor', 'successful', 'producer', 'actress', 'director']"
254,['Jai Jagadish'],['https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg'],"['actor', 'director', 'producer', 'married', 'actress', 'director']"
255,['Jameel Khan'],['https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg'],['actor']
256,['Jaspal Bhatti'],"['https://en.wikipedia.org//wiki/File:Jaspal_Bhatti.jpg', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg']","['comedy', 'married', 'powerful', 'successful', 'honest', 'comedy', 'comedy', 'actress', 'actor', 'comedy', 'general']"
257,['Jatin Bora'],"['https://en.wikipedia.org//wiki/File:Jatin_Borah.JPG', 'https://en.wikipedia.org//wiki/File:Jatin_Bora.jpg']","['actor', 'director', 'successful', 'successful', 'married', 'singer', 'actress']"
258,['Jaya Prakash Reddy'],['https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg'],"['actor', 'comedy']"
259,['Jayadev Mohan'],[],"['actor', 'director', 'comedy']"
260,['Jayam Ravi'],['https://en.wikipedia.org//wiki/File:Jayam_Ravi_at_Naya_Gadget_Shop_Launch_Event.jpg'],"['actor', 'actor', 'director', 'actor', 'married', 'producer', 'actor', 'actor', 'director', 'comedy', 'comedy', 'actor', 'comedy']"
261,['Jayan'],"['https://en.wikipedia.org//wiki/File:Jayan-%27Krishnan-Nair%27-pic.jpg', 'https://en.wikipedia.org//wiki/File:India-Navy-OR-9.svg', 'https://en.wikipedia.org//wiki/File:JayanHelicopterStunt.jpg', 'https://en.wikipedia.org//wiki/File:JayanLastViewCrowd.jpg', 'https://en.wikipedia.org//wiki/File:JayanCitizenWatch.jpg', 'https://en.wikipedia.org//wiki/File:TheShipCraneStunt.jpg', 'https://en.wikipedia.org//wiki/File:JayanStatueHome.jpg']","['actor', 'actor', 'actress', 'actor', 'actor', 'memorable', 'director', 'director', 'actor', 'actor', 'actor', 'actor', 'daring', 'successful', 'actor', 'memorable', 'general', 'actor', 'memorable', 'actor', 'actor', 'actor', 'actor', 'actor', 'married']"
262,['Jayant (actor)'],"['https://en.wikipedia.org//wiki/File:Jayant-%27Zakaria_Khan%27-pic.jpg', 'https://en.wikipedia.org//wiki/File:Wiki_letter_w_cropped.svg', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg']","['actor', 'tall', 'director', 'producer', 'married', 'successful']"
263,['Jayaram'],['https://en.wikipedia.org//wiki/File:Jayaram_2008.jpg'],"['actor', 'singer', 'successful', 'actor', 'writer', 'writer', 'director', 'successful', 'comedy', 'successful', 'comedic', 'married', 'actress', 'actor']"
264,['Karthik Jayaram'],"['https://en.wikipedia.org//wiki/File:Karthik_Jayaram.jpg', 'https://en.wikipedia.org//wiki/File:Question_book-new.svg']","['actor', 'known for his work', 'actor', 'actor']"
265,['Jayasurya'],['https://en.wikipedia.org//wiki/File:Jayasurya2018.jpg'],"['actor', 'producer', 'singer', 'actor', 'beautiful', 'comedy', 'producer', 'singer', 'actor', 'married', 'comedy', 'beautiful', 'actor', 'successful', 'actor', 'producer', 'director', 'actor', 'actor', 'producer', 'singer']"
266,['Jeet (actor)'],"['https://en.wikipedia.org//wiki/File:Jeet_(actor)_portrait_2017.jpg', 'https://en.wikipedia.org//wiki/File:Jeet_actor.JPG', 'https://en.wikipedia.org//wiki/File:Commons-logo.svg']","['actor', 'producer', 'successful', 'actor', 'successful', 'successful', 'comedy', 'married', 'modelling', 'actor', 'producer', 'actor', 'actor']"
267,['Jeetendra'],"['https://en.wikipedia.org//wiki/File:Jeetendra_in_February_2020.jpg', 'https://en.wikipedia.org//wiki/File:Jeetendra_with_his_son_Tusshar_and_daughter_Ekta.jpg']","['actor', 'producer', 'writer', 'actor', 'married', 'actor']"
268,['Jeeva (Telugu actor)'],['https://en.wikipedia.org//wiki/File:Jeeva_Telugu_actor.jpg'],"['actor', 'director', 'actor']"
269,['Jeevan (actor)'],['https://en.wikipedia.org//wiki/File:Actor_Jeevan.jpg'],"['actor', 'actor']"
270,['Jhanak Shukla'],['https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg'],"['actress', 'actress']"
271,['Jiiva'],"['https://en.wikipedia.org//wiki/File:Jiiva_latest_photoshoot.jpg', 'https://en.wikipedia.org//wiki/File:Bergen_-_Ko_film_shooting5.jpg', 'https://en.wikipedia.org//wiki/File:From_the_sets_of_Nanban_.jpg', 'https://en.wikipedia.org//wiki/File:Mugamoodi_costumer_molding_session.jpg']","['actor', 'producer', 'philanthropist', 'successful', 'producer', 'actor', 'independent', 'actor', 'good looks', 'actor', 'actor', 'successful', 'director', 'comedy', 'actress', 'comedy', 'actor', 'comedy', 'comedy', 'director', 'actor']"
272,['Jimmy Sheirgill'],"['https://en.wikipedia.org//wiki/File:Jimmy_Shergill.jpg', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg']","['actor', 'producer', 'comedy', 'actor', 'painter', 'actor', 'producer', 'married']"
273,['Jisshu Sengupta'],"['https://en.wikipedia.org//wiki/File:Jisshu_Sengupta.jpg', 'https://en.wikipedia.org//wiki/File:Jishu_Sengupta_photo.jpg', 'https://en.wikipedia.org//wiki/File:Jishu_sengupta.jpg', 'https://en.wikipedia.org//wiki/File:60431813-322x242.jpg', 'https://en.wikipedia.org//wiki/File:88538271-322x215.jpg', 'https://en.wikipedia.org//wiki/File:Jishu_Sengupta_image.jpg']","['actor', 'producer', 'actor', 'married', 'actress', 'comedy', 'director', 'successful', 'actor', 'hosting', 'singer', 'comedy']"
274,['Jithan Ramesh'],['https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg'],"['actor', 'producer', 'actor', 'married']"
275,['Joe Simon (film director)'],"['https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg']","['director', 'actor', 'writer', 'known for his work', 'actor', 'writer', 'director']"
276,['John Abraham'],"['https://en.wikipedia.org//wiki/File:John_in_2020.jpg', 'https://en.wikipedia.org//wiki/File:John_Abraham_2006.jpg', 'https://en.wikipedia.org//wiki/File:John_Abraham_and_Deepika_Padukone_unveiling_DESI_BOYZ_clothing_line_at_Shoppers_Stop.jpg', 'https://en.wikipedia.org//wiki/File:Varun-Dhawan-Jacqueline-Fernandez-John-Abraham-promote-their-film-Dishoom.jpg', 'https://en.wikipedia.org//wiki/File:John_Abraham,_Rahul_Bose_at_the_Press_conference_of_Standard_Chartered_Mumbai_Marathon_2013_02.jpg', 'https://en.wikipedia.org//wiki/File:John_abraham_priya_marwah.jpg']","['actor', 'producer', 'modelling', 'successful', 'producer', 'modelling', 'singer', 'actor', 'actor', 'comedy', 'independent', 'successful', 'successful', 'comedy', 'producer', 'producer', 'married', 'actor', 'married']"
277,['Johnny Lever'],"['https://en.wikipedia.org//wiki/File:JohnnyLever.jpg', 'https://en.wikipedia.org//wiki/File:Commons-logo.svg']","['actor', 'comedy', 'comedy', 'actor', 'comedy', 'producer', 'actress', 'actor', 'memorable', 'director', 'comedy', 'married', 'stand-up comedian']"
278,['Johnny Walker (actor)'],['https://en.wikipedia.org//wiki/File:Johnny_Walker_dans_CID_(1955).jpg'],"['actor', 'actor', 'director', 'actor', 'comedic', 'successful', 'comedy', 'comedy', 'successful', 'actor', 'married', 'actor']"
