,Name,Image,Personality Traits
24,['Ahuti Prasad'],['https://en.wikipedia.org//wiki/File:Ahuti-Prasad-pic.jpg'],"['actor', 'actor', 'director', 'married', 'beautiful', 'director', 'producer', 'actor', 'actor', 'general']"
25,['Ajay Devgn'],"['https://en.wikipedia.org//wiki/File:Ajay_Devgn_at_the_launch_of_MTV_Super_Fight_League.jpg', 'https://en.wikipedia.org//wiki/File:Ajay_Devgn_and_Rohit_Shetty.jpg', 'https://en.wikipedia.org//wiki/File:Ajay_Devgan_promote_at_All_The_Best_promotions_(3).jpg', 'https://en.wikipedia.org//wiki/File:Ajay_Devgn_and_Kangana_Ranaut.jpg', 'https://en.wikipedia.org//wiki/File:Ajay_Devgn,_Ileana_D%27Cruz.jpg', 'https://en.wikipedia.org//wiki/File:Ajay_and_Kajol.jpg', 'https://en.wikipedia.org//wiki/File:Prachi_Desai,_Abhishek_Bachchan,_Ajay_Devgn,_Asin_%27Bol_Bachchan%27_team_on_the_sets_of_Taarak_Mehta_Ka_Ooltah_Chashmah_04.jpg']","['actor', 'director', 'producer', 'successful', 'actor', 'actor', 'successful', 'director', 'married', 'actress', 'director', 'producer', 'screenwriter', 'comedy', 'successful', 'actor', 'successful', 'comedy', 'successful', 'actor', 'director', 'comedy', 'successful', 'successful', 'actor', 'actor', 'comedy', 'actress', 'director', 'actor', 'successful', 'actor', 'powerful', 'director', 'comedy', 'successful', 'comedy', 'actor', 'successful', 'comedy', 'successful', 'director', 'honest', 'actress', 'married', 'actor', 'actress', 'comedy', 'comedy']"
26,['Ajay Rao'],['https://en.wikipedia.org//wiki/File:Ajay_Rao.JPG'],"['actor', 'producer', 'married', 'actor', 'actor']"
27,['Ajaz Khan'],['https://en.wikipedia.org//wiki/File:Ajaz_Khan_at_Sachin_Joshi%27s_Diwali_Party.jpg'],"['actor', 'comedy']"
28,['Ajinkya Deo'],"['https://en.wikipedia.org//wiki/File:Ajinkya_Dev.jpg', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg']","['actor', 'director', 'director', 'creative']"
29,['Ajit Khan'],['https://en.wikipedia.org//wiki/File:Ajit_Khan.jpg'],"['actor', 'director', 'actor', 'writer', 'actor', 'memorable', 'married', 'actor', 'actor', 'actor']"
30,['Ajith Kumar'],"['https://en.wikipedia.org//wiki/File:Ajith_Kumar_at_Irungattukottai_Race_Track.jpg', 'https://en.wikipedia.org//wiki/File:01TamilActor%26Ajith.jpg']","['actor', 'singer', 'successful', 'actor', 'director', 'actor', 'successful', 'director', 'actress', 'married', 'successful', 'comedy', 'actor', 'married', 'actor', 'director', 'successful', 'actor', 'successful', 'actor', 'successful', 'actor', 'director', 'comedy', 'actor', 'successful', 'director', 'actor', 'actor', 'actress', 'married']"
31,['Ajmal Ameer'],['https://en.wikipedia.org//wiki/File:Ajmal_Ameer_at_Launch_of_Provoke_Lifestyle_Magazine.jpg'],"['actor', 'actor', 'independent']"
32,['Aju Varghese'],['https://en.wikipedia.org//wiki/File:Aju_Varghese_inaugural_speech_SARGAM_SJCET.JPG'],"['actor', 'producer', 'married', 'director']"
33,['Akhil Akkineni'],['https://en.wikipedia.org//wiki/File:Akkineni_Akhil.jpg'],"['actor', 'comedy', 'actor', 'actress', 'director']"
34,['Akshay Anand'],"['https://en.wikipedia.org//wiki/File:Anand_Akshay.jpg', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg']","['actor', 'actor', 'director', 'producer', 'director', 'married']"
35,['Akshay Kumar'],"['https://en.wikipedia.org//wiki/File:Akshay_Kumar.jpg', 'https://en.wikipedia.org//wiki/File:AkshayKumarSignature.png', 'https://en.wikipedia.org//wiki/File:Akshay_Kumar_in_Sydney_for_Heyy_Babyy.jpg', 'https://en.wikipedia.org//wiki/File:Katrina_Kaif_and_Akshay_Kumar_on_the_set_of_Namastey_London.jpg', 'https://en.wikipedia.org//wiki/File:Akshay_%26_Katrina_on_the_sets_of_Welcome.jpg', 'https://en.wikipedia.org//wiki/File:Launch_of_the_song_%E2%80%98Taang_Uthake%E2%80%99_from_the_film_Housefull_3.jpg', 'https://en.wikipedia.org//wiki/File:Akshay_Kumar_with_family.jpg', 'https://en.wikipedia.org//wiki/File:Akshay_Kumar_with_his_wife_Twinkle_Khanna_in_2015.jpg', 'https://en.wikipedia.org//wiki/File:P_vip.svg', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg', 'https://en.wikipedia.org//wiki/File:Video-x-generic.svg', 'https://en.wikipedia.org//wiki/File:Flag_of_India.svg']","['actor', 'producer', 'successful', 'actor', 'actor', 'outstanding', 'actor', 'modelling', 'photographer', 'producer', 'actor', 'successful', 'actor', 'comedy', 'comedy', 'director', 'actor', 'comedy', 'actor', 'comedy', 'married', 'comedy', 'comedy', 'actor', 'successful', 'successful', 'actor', 'actress', 'host', 'successful', 'comedy', 'comedy', 'comedy', 'successful', 'successful', 'actor', 'successful', 'actor', 'comedy', 'comedy', 'actress', 'married', 'outstanding', 'responsible', 'actor', 'outstanding']"
36,['Akshaye Khanna'],"['https://en.wikipedia.org//wiki/File:Akshaye_Khanna_still2.jpg', 'https://en.wikipedia.org//wiki/File:Akshaye_Khanna_still2.jpg']","['actor', 'comedy', 'actor', 'comedy', 'actor', 'actor', 'singer', 'comedy', 'actor', 'actor', 'comedy', 'comedy', 'comedy', 'comedy', 'actor', 'comedy', 'comedy', 'director', 'writer', 'actor', 'comedy', 'comedy', 'successful', 'actor', 'actor', 'actor', 'actor', 'actor', 'actor', 'actor', 'actor']"
37,['Akul Balaji'],[],"['actor', 'host', 'hosting', 'director', 'married', 'actor', 'host', 'comedy']"
38,['Ali (actor)'],['https://en.wikipedia.org//wiki/File:Ali_Telugu_actor.jpg'],"['actor', 'actor', 'married', 'director', 'actor', 'director', 'actor', 'host']"
39,['Allari Naresh'],['https://en.wikipedia.org//wiki/File:Allari_Naresh.jpg'],"['actor', 'director', 'producer', 'actor', 'comedy', 'comedy', 'beautiful', 'actor', 'successful', 'successful', 'actor', 'successful', 'comedy', 'actor', 'married']"
40,['Allu Arjun'],"['https://en.wikipedia.org//wiki/File:Allu_Arjun_at_62nd_Filmfare_awards_south.jpg', 'https://en.wikipedia.org//wiki/File:Allu_Arjun_at_Vaishali_audio_launch.jpg', 'https://en.wikipedia.org//wiki/File:Commons-logo.svg']","['actor', 'actor', 'producer', 'married', 'married', 'comedy', 'actor', 'powerful', 'loyal', 'comedy', 'actor', 'director', 'actor', 'comedy', 'actor', 'producer', 'writer', 'director']"
41,['Allu Sirish'],"['https://en.wikipedia.org//wiki/File:Allu_Sirish_filmfare.jpg', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg']",['actor']
42,['Alok Nath'],['https://en.wikipedia.org//wiki/File:AlokNath.jpg'],"['actor', 'known for his work', 'actor', 'producer']"
43,['Amar Talwar'],[],"['actor', 'actor']"
44,['Ambareesh'],['https://en.wikipedia.org//wiki/File:M.H.Ambareesh.jpg'],"['actor', 'actor', 'successful', 'director', 'actor', 'actor', 'actor', 'general', 'general', 'actress', 'married', 'actor', 'actor']"
45,['Amitabh Bachchan'],"['https://en.wikipedia.org//wiki/File:Amitabh_Bachchan_December_2013.png', 'https://en.wikipedia.org//wiki/File:Amitabhbachchanji_signature.svg', 'https://en.wikipedia.org//wiki/File:BigB_N_JayaB.jpg', 'https://en.wikipedia.org//wiki/File:Amitabhbachchan28529.jpg', 'https://en.wikipedia.org//wiki/File:Bachan_mohanlal.jpg', 'https://en.wikipedia.org//wiki/File:Amitabh_Bachchan_KBC5_Press.jpg', 'https://en.wikipedia.org//wiki/File:BachchanAmitabh.jpg', 'https://en.wikipedia.org//wiki/File:Amitabh_Bachchan_with_Olympic_torch.jpg', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg', 'https://en.wikipedia.org//wiki/File:Commons-logo.svg']","['actor', 'producer', 'host', 'singer', 'director', 'actor', 'singer', 'producer', 'married', 'actress', 'actor', 'comedy', 'successful', 'screenwriter', 'writer', 'director', 'actor', 'actor', 'director', 'successful', 'married', 'successful', 'actor', 'comedy', 'actor', 'beautiful', 'actor', 'actor', 'successful', 'actor', 'singer', 'successful', 'comedy', 'successful', 'actor', 'director', 'actor', 'actor', 'producer', 'beauty', 'actor', 'actor', 'successful', 'comedy', 'actor', 'writer', 'actor', 'comedy', 'actor', 'independent', 'powerful', 'comedy', 'general', 'host', 'singer', 'director', 'actor']"
46,['Amjad Khan (actor)'],"['https://en.wikipedia.org//wiki/File:AmjadKhan.jpg', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg']","['actor', 'director', 'actor', 'general', 'actor', 'actress', 'actor', 'actor', 'respected', 'married', 'actor']"
47,['Amol Palekar'],"['https://en.wikipedia.org//wiki/File:AmolPalekar.jpg', 'https://en.wikipedia.org//wiki/File:Amol_Palekar_Autograph.jpg', 'https://en.wikipedia.org//wiki/File:Amol_Palekar_-_Panel_Discussion_-_Badal_Sircar_and_His_Theater_-_40th_International_Kolkata_Book_Fair_-_Milan_Mela_Complex_-_Kolkata_2016-02-04_0859.JPG']","['actor', 'director', 'producer', 'painter', 'actor', 'director', 'producer', 'actor', 'director', 'sensitive', 'actor', 'actor', 'director', 'general', 'married']"
48,['Amrish Puri'],"['https://en.wikipedia.org//wiki/File:Amrish_Puri.jpg', 'https://en.wikipedia.org//wiki/File:Amrish_Puri_signature.jpg', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg']","['actor', 'actor', 'actor', 'singer', 'successful', 'actor', 'successful', 'known for his work', 'actor', 'actor', 'actor', 'actor', 'actor']"
49,['Anant Nag'],"['https://en.wikipedia.org//wiki/File:Anantnag_actor.jpg', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg']","['actor', 'director', 'actress', 'comedy', 'comedy', 'director', 'sensitive', 'married', 'writer', 'actor']"
50,['Anil Kapoor'],"['https://en.wikipedia.org//wiki/File:Anil_Kapoor_snapped_at_Race_3_interviews_at_Sun_N_Sand_hotel_in_Juhu.jpg', 'https://en.wikipedia.org//wiki/File:Tom_Cruise_visits_the_Taj_Mahal_with_Anil_Kapoor.jpg', 'https://en.wikipedia.org//wiki/File:Anil_Kapoor_at_%E2%80%9924%E2%80%99_game_launching_event.jpg', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg']","['actor', 'producer', 'producer', 'actor', 'successful', 'outstanding', 'producer', 'actor', 'actress', 'married', 'actress', 'producer', 'actor', 'actor', 'comedy', 'actor', 'successful', 'actress', 'actor', 'actor', 'actor', 'comedy', 'outstanding', 'actor', 'actor', 'comedy', 'singer', 'comedy']"
51,['Aniruddha Jatkar'],"['https://en.wikipedia.org//wiki/File:Aniruddha_Jatkar.jpg', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg']","['actor', 'comedy', 'actress', 'actor']"
52,['Aanjjan Srivastav'],['https://en.wikipedia.org//wiki/File:Aanjjan_Srivastav.jpg'],"['actor', 'respected', 'general', 'comedy', 'actor', 'director']"
53,['Ankush Chaudhari'],[],"['actor', 'screenwriter', 'director', 'producer', 'married']"
54,['Ankush Hazra'],[],"['actor', 'director', 'comedy', 'actress', 'comedy']"
55,['Annu Kapoor'],"['https://en.wikipedia.org//wiki/File:Annu_Kapoor_cap.jpg', 'https://en.wikipedia.org//wiki/File:Annu_Kapoor_portrait.jpg', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg']","['actor', 'hosting', 'singer', 'director', 'actor', 'hosting', 'comedic', 'married', 'actor', 'director', 'screenwriter', 'producer', 'actor', 'writer']"
56,['Anoop Kumar'],['https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg'],['actor']
57,['Anoop Menon'],[],"['actor', 'director', 'screenwriter', 'actor', 'beautiful', 'actress', 'married', 'screenwriter', 'beautiful', 'director', 'actor']"
58,['Anubhav Mohanty'],['https://en.wikipedia.org//wiki/File:Anubhav_Mohanty.JPG'],"['actor', 'producer', 'successful']"
59,['Anuj Gurwara'],"['https://en.wikipedia.org//wiki/File:Anuj_Gurwara_38.jpg', 'https://en.wikipedia.org//wiki/File:Anuj_-_Live_Performance.jpg', 'https://en.wikipedia.org//wiki/File:Anuj_Gurwara_Amitabh_Bachchan.jpg']","['singer', 'actor', 'radio jockey', 'host', 'singer', 'director', 'singer', 'independent', 'actor', 'hosting', 'singer', 'actor', 'actor', 'comedy', 'hosting', 'hosting', 'dedicated', 'host', 'writer', 'writer', 'responsible', 'successful']"
